player_id,name,team,dob,age_years,age_days
tillmxa01,Xavier Tillman Sr.,Boston Celtics,1999-01-12,26,9652
thomaca02,Cam Thomas,Brooklyn Nets,2001-10-13,23,8647
johnsca02,Cameron Johnson,Brooklyn Nets,1996-03-03,29,10697
russeda01,D'Angelo Russell,Brooklyn Nets,1996-02-23,29,10706
whiteda01,Dariq Whitehead,Brooklyn Nets,2004-08-01,20,7624
sharpda01,Day'Ron Sharpe,Brooklyn Nets,2001-11-06,23,8623
meltode01,De'Anthony Melton,Brooklyn Nets,1998-05-28,27,9881
timmedr01,Drew Timme,Brooklyn Nets,2000-09-09,24,9046
wilsoja03,Jalen Wilson,Brooklyn Nets,2000-11-04,24,8990
johnske07,Keon Johnson,Brooklyn Nets,2002-03-10,23,8499
lewisma05,Maxwell Lewis,Brooklyn Nets,2002-07-27,22,8360
claxtni01,Nic Claxton,Brooklyn Nets,1999-04-17,26,9557
clownno01,Noah Clowney,Brooklyn Nets,2004-07-14,20,7642
beekmre01,Reece Beekman,Brooklyn Nets,2001-10-08,23,8652
evbuoto01,Tosan Evbuomwan,Brooklyn Nets,2001-02-16,24,8886
watfotr01,Trendon Watford,Brooklyn Nets,2000-11-09,24,8985
martity01,Tyrese Martin,Brooklyn Nets,1999-03-07,26,9598
etienty01,Tyson Etienne,Brooklyn Nets,1999-09-17,25,9404
willizi02,Ziaire Williams,Brooklyn Nets,2001-09-12,23,8678
dosunay01,Ayo Dosunmu,Chicago Bulls,2000-01-17,25,9282
whiteco01,Coby White,Chicago Bulls,2000-02-16,25,9252
terryda01,Dalen Terry,Chicago Bulls,2002-07-12,22,8375
liddeej01,E.J. Liddell,Chicago Bulls,2000-12-18,24,8946
milleem01,Emanuel Miller,Chicago Bulls,2000-06-19,24,9128
youngja05,Jahmir Young,Chicago Bulls,2000-10-07,24,9018
smithja04,Jalen Smith,Chicago Bulls,2000-03-16,25,9223
carteje01,Jevon Carter,Chicago Bulls,1995-09-14,29,10868
giddejo01,Josh Giddey,Chicago Bulls,2002-10-10,22,8285
phillju01,Julian Phillips,Chicago Bulls,2003-11-05,21,7894
huertke01,Kevin Huerter,Chicago Bulls,1998-08-27,26,9790
balllo01,Lonzo Ball,Chicago Bulls,1997-10-27,27,10094
buzelma01,Matas Buzelis,Chicago Bulls,2004-10-13,20,7551
vucevni01,Nikola VuÄeviÄ,Chicago Bulls,1990-10-24,34,12654
willipa01,Patrick Williams,Chicago Bulls,2001-08-26,23,8695
hortota01,Talen Horton-Tucker,Chicago Bulls,2000-11-25,24,8969
jonestr01,Tre Jones,Chicago Bulls,2000-01-08,25,9291
colliza01,Zach Collins,Chicago Bulls,1997-11-19,27,10071
okekech01,Chuma Okeke,Cleveland Cavaliers,1998-08-18,26,9799
portecr01,Craig Porter Jr.,Cleveland Cavaliers,2000-02-26,25,9242
garlada01,Darius Garland,Cleveland Cavaliers,2000-01-26,25,9273
huntede01,De'Andre Hunter,Cleveland Cavaliers,1997-12-02,27,10058
wadede01,Dean Wade,Cleveland Cavaliers,1996-11-20,28,10435
mitchdo01,Donovan Mitchell,Cleveland Cavaliers,1996-09-07,28,10509
batesem01,Emoni Bates,Cleveland Cavaliers,2004-01-28,21,7810
mobleev01,Evan Mobley,Cleveland Cavaliers,2001-06-18,23,8764
okorois01,Isaac Okoro,Cleveland Cavaliers,2001-01-26,24,8907
allenja01,Jarrett Allen,Cleveland Cavaliers,1998-04-21,27,9918
greenja02,Javonte Green,Cleveland Cavaliers,1993-07-23,31,11651
tysonja01,Jaylon Tyson,Cleveland Cavaliers,2002-12-02,22,8232
travelu01,Luke Travers,Cleveland Cavaliers,2001-09-03,23,8687
strusma01,Max Strus,Cleveland Cavaliers,1996-03-28,29,10672
tomlina01,Nae'Qwan Tomlin,Cleveland Cavaliers,2000-12-10,24,8954
merrisa01,Sam Merrill,Cleveland Cavaliers,1996-05-15,29,10624
thomptr01,Tristan Thompson,Cleveland Cavaliers,1991-03-13,34,12514
jeromty01,Ty Jerome,Cleveland Cavaliers,1997-07-08,27,10205
davisan02,Anthony Davis,Dallas Mavericks,1993-03-11,32,11785
willibr03,Brandon Williams,Dallas Mavericks,1999-11-22,25,9338
martica02,Caleb Martin,Dallas Mavericks,1995-09-28,29,10854
gaffoda01,Daniel Gafford,Dallas Mavericks,1998-10-01,26,9755
exumda01,Dante Exum,Dallas Mavericks,1995-07-13,29,10931
livelde01,Dereck Lively II,Dallas Mavericks,2004-02-12,21,7795
poweldw01,Dwight Powell,Dallas Mavericks,1991-07-20,33,12385
hardyja02,Jaden Hardy,Dallas Mavericks,2002-07-05,22,8382
joneska01,Kai Jones,Dallas Mavericks,2001-01-19,24,8914
edwarke02,Kessler Edwards,Dallas Mavericks,2000-08-09,24,9077
thompkl01,Klay Thompson,Dallas Mavericks,1990-02-08,35,12912
irvinky01,Kyrie Irving,Dallas Mavericks,1992-03-23,33,12138
chrisma02,Max Christie,Dallas Mavericks,2003-02-10,22,8162
marshna01,Naji Marshall,Dallas Mavericks,1998-01-24,27,10005
prospol01,Olivier-Maxence Prosper,Dallas Mavericks,2002-07-03,22,8384
washipj01,P.J. Washington,Dallas Mavericks,1998-08-23,26,9794
dinwisp01,Spencer Dinwiddie,Dallas Mavericks,1993-04-06,32,11759
gordoaa01,Aaron Gordon,Denver Nuggets,1995-09-16,29,10866
braunch01,Christian Braun,Denver Nuggets,2001-04-17,24,8826
holmeda01,DaRon Holmes,Denver Nuggets,2002-08-15,22,8341
saricda01,Dario Å ariÄ,Denver Nuggets,1994-04-08,31,11392
jordade01,DeAndre Jordan,Denver Nuggets,1988-07-21,36,13479
tysonhu01,Hunter Tyson,Denver Nuggets,2000-06-13,25,9134
pickeja02,Jalen Pickett,Denver Nuggets,1999-10-22,25,9369
murraja01,Jamal Murray,Denver Nuggets,1997-02-23,28,10340
strawju01,Julian Strawther,Denver Nuggets,2002-04-18,23,8460
portemi01,Michael Porter Jr.,Denver Nuggets,1998-06-29,26,9849
jokicni01,Nikola JokiÄ,Denver Nuggets,1995-02-19,30,11075
hallpj01,PJ Hall,Denver Nuggets,2002-02-21,23,8516
watsope01,Peyton Watson,Denver Nuggets,2002-09-11,22,8314
westbru01,Russell Westbrook,Denver Nuggets,1988-11-12,36,13365
jonessp01,Spencer Jones,Denver Nuggets,2001-06-14,24,8768
alexatr01,Trey Alexander,Denver Nuggets,2003-05-02,22,8081
cancavl01,Vlatko ÄanÄar,Denver Nuggets,1997-04-10,28,10294
nnajize01,Zeke Nnaji,Denver Nuggets,2001-01-09,24,8924
thompau01,Ausar Thompson,Detroit Pistons,2003-01-30,22,8173
klintbo01,Bobi Klintman,Detroit Pistons,2003-03-06,22,8138
cunnica01,Cade Cunningham,Detroit Pistons,2001-09-25,23,8665
jenkida01,Daniss Jenkins,Detroit Pistons,2001-08-17,23,8704
schrode01,Dennis SchrÃ¶der,Detroit Pistons,1993-09-15,31,11597
stewais01,Isaiah Stewart,Detroit Pistons,2001-05-22,24,8791
iveyja01,Jaden Ivey,Detroit Pistons,2002-02-13,23,8524
durenja01,Jalen Duren,Detroit Pistons,2003-11-18,21,7881
waterli01,Lindy Waters III,Detroit Pistons,1997-07-28,27,10185
beaslma01,Malik Beasley,Detroit Pistons,1996-11-26,28,10429
sassema01,Marcus Sasser,Detroit Pistons,2000-09-21,24,9034
reedpa01,Paul Reed,Detroit Pistons,1999-06-14,26,9499
harpero02,Ron Harper Jr.,Detroit Pistons,2000-04-12,25,9196
hollaro01,Ron Holland,Detroit Pistons,2005-07-07,19,7284
fontesi01,Simone Fontecchio,Detroit Pistons,1995-12-09,29,10782
hardati02,Tim Hardaway Jr.,Detroit Pistons,1992-03-16,33,12145
harrito02,Tobias Harris,Detroit Pistons,1992-07-15,32,12024
smithto05,Tolu Smith,Detroit Pistons,2000-07-26,24,9091
podzibr01,Brandin Podziemski,Golden State Warriors,2003-02-25,22,8147
keybr01,Braxton Key,Golden State Warriors,1997-02-14,28,10349
hieldbu01,Buddy Hield,Golden State Warriors,1992-12-17,32,11869
greendr01,Draymond Green,Golden State Warriors,1990-03-04,35,12888
paytoga02,Gary Payton II,Golden State Warriors,1992-12-01,32,11885
santogu01,Gui Santos,Golden State Warriors,2002-06-22,22,8395
roweja01,Jackson Rowe,Golden State Warriors,1997-01-04,28,10390
butleji01,Jimmy Butler,Golden State Warriors,1989-09-14,35,13059
kuminjo01,Jonathan Kuminga,Golden State Warriors,2002-10-06,22,8289
knoxke01,Kevin Knox,Golden State Warriors,1999-08-11,25,9441
looneke01,Kevon Looney,Golden State Warriors,1996-02-06,29,10723
moodymo01,Moses Moody,Golden State Warriors,2002-05-31,23,8417
spencpa01,Pat Spencer,Golden State Warriors,1996-07-04,28,10574
postqu01,Quinten Post,Golden State Warriors,2000-03-21,25,9218
curryst01,Stephen Curry,Golden State Warriors,1988-03-14,37,13608
armstta02,Taran Armstrong,Golden State Warriors,2002-01-15,23,8553
jackstr02,Trayce Jackson-Davis,Golden State Warriors,2000-02-22,25,9246
holidaa01,Aaron Holiday,Houston Rockets,1996-09-30,28,10486
sengual01,Alperen ÅengÃ¼n,Houston Rockets,2002-07-25,22,8362
thompam01,Amen Thompson,Houston Rockets,2003-01-30,22,8173
whitmca01,Cam Whitmore,Houston Rockets,2004-07-08,20,7648
roddyda01,David Roddy,Houston Rockets,2001-03-27,24,8847
brookdi01,Dillon Brooks,Houston Rockets,1996-01-22,29,10738
vanvlfr01,Fred VanVleet,Houston Rockets,1994-02-25,31,11434
smithja05,Jabari Smith Jr.,Houston Rockets,2003-05-13,22,8070
mcveija01,Jack McVeigh,Houston Rockets,1996-06-27,28,10581
tateja01,Jae'Sean Tate,Houston Rockets,1995-10-28,29,10824
greenja05,Jalen Green,Houston Rockets,2002-02-09,23,8528
willije02,Jeenathan Williams,Houston Rockets,1999-02-12,26,9621
greenje02,Jeff Green,Houston Rockets,1986-08-28,38,14172
landajo01,Jock Landale,Houston Rockets,1995-10-25,29,10827
nfalyda01,N'Faly Dante,Houston Rockets,2001-10-19,23,8641
sheppre01,Reed Sheppard,Houston Rockets,2004-06-24,20,7662
adamsst01,Steven Adams,Houston Rockets,1993-07-20,31,11654
easonta01,Tari Eason,Houston Rockets,2001-05-10,24,8803
nesmiaa01,Aaron Nesmith,Indiana Pacers,1999-10-16,25,9375
nembhan01,Andrew Nembhard,Indiana Pacers,2000-01-16,25,9283
sheppbe01,Ben Sheppard,Indiana Pacers,2001-07-16,23,8736
mathube01,Bennedict Mathurin,Indiana Pacers,2002-06-19,22,8398
freemen01,Enrique Freeman,Indiana Pacers,2000-07-29,24,9088
jacksis01,Isaiah Jackson,Indiana Pacers,2002-01-10,23,8558
johnsja01,James Johnson,Indiana Pacers,1987-02-20,38,13996
walkeja02,Jarace Walker,Indiana Pacers,2003-09-04,21,7956
furphjo01,Johnny Furphy,Indiana Pacers,2004-12-08,20,7495
turnemy01,Myles Turner,Indiana Pacers,1996-03-24,29,10676
toppiob01,Obi Toppin,Indiana Pacers,1998-03-04,27,9966
siakapa01,Pascal Siakam,Indiana Pacers,1994-04-02,31,11398
jacksqu01,Quenton Jackson,Indiana Pacers,1998-09-15,26,9771
dennira01,RayJ Dennis,Indiana Pacers,2001-03-30,24,8844
mccontj01,T.J. McConnell,Indiana Pacers,1992-03-25,33,12136
bryanth01,Thomas Bryant,Indiana Pacers,1997-07-31,27,10182
bradlto01,Tony Bradley,Indiana Pacers,1998-01-08,27,10021
halibty01,Tyrese Haliburton,Indiana Pacers,2000-02-29,25,9239
coffeam01,Amir Coffey,Los Angeles Clippers,1997-06-17,27,10226
simmobe01,Ben Simmons,Los Angeles Clippers,1996-07-20,28,10558
bogdabo01,Bogdan BogdanoviÄ,Los Angeles Clippers,1992-08-18,32,11990
chrisca02,Cam Christie,Los Angeles Clippers,2005-07-24,19,7267
jonesde02,Derrick Jones Jr.,Los Angeles Clippers,1997-02-15,28,10348
eubandr01,Drew Eubanks,Los Angeles Clippers,1997-02-01,28,10362
zubaciv01,Ivica Zubac,Los Angeles Clippers,1997-03-18,28,10317
hardeja01,James Harden,Los Angeles Clippers,1989-08-26,35,13078
millejo02,Jordan Miller,Los Angeles Clippers,2000-01-23,25,9276
leonaka01,Kawhi Leonard,Los Angeles Clippers,1991-06-29,33,12406
brownko01,Kobe Brown,Los Angeles Clippers,2000-01-01,25,9298
dunnkr01,Kris Dunn,Los Angeles Clippers,1994-03-18,31,11413
batumni01,Nicolas Batum,Los Angeles Clippers,1988-12-14,36,13333
powelno01,Norman Powell,Los Angeles Clippers,1993-05-25,32,11710
baldwpa01,Patrick Baldwin Jr.,Los Angeles Clippers,2002-11-18,22,8246
millspa02,Patty Mills,Los Angeles Clippers,1988-08-11,36,13458
lundyse01,Seth Lundy,Los Angeles Clippers,2000-04-02,25,9206
flowetr01,Trentyn Flowers,Los Angeles Clippers,2005-03-08,20,7405
lenal01,Alex Len,Los Angeles Lakers,1993-06-16,32,11688
reaveau01,Austin Reaves,Los Angeles Lakers,1998-05-29,27,9880
jamesbr02,Bronny James,Los Angeles Lakers,2004-10-06,20,7558
kolokch01,Christian Koloko,Los Angeles Lakers,2000-06-20,24,9127
knechda01,Dalton Knecht,Los Angeles Lakers,2001-04-19,24,8824
finnedo01,Dorian Finney-Smith,Los Angeles Lakers,1993-05-04,32,11731
vincega01,Gabe Vincent,Los Angeles Lakers,1996-06-14,29,10594
vandeja01,Jarred Vanderbilt,Los Angeles Lakers,1999-04-03,26,9571
hayesja02,Jaxson Hayes,Los Angeles Lakers,2000-05-23,25,9155
goodwjo01,Jordan Goodwin,Los Angeles Lakers,1998-10-23,26,9733
jamesle01,LeBron James,Los Angeles Lakers,1984-12-30,40,14778
doncilu01,Luka DonÄiÄ,Los Angeles Lakers,1999-02-28,26,9605
morrima02,Markieff Morris,Los Angeles Lakers,1989-09-02,35,13071
klebima01,Maxi Kleber,Los Angeles Lakers,1992-01-29,33,12192
hachiru01,Rui Hachimura,Los Angeles Lakers,1998-02-08,27,9990
miltosh01,Shake Milton,Los Angeles Lakers,1996-09-26,28,10490
jemistr01,Trey Jemison,Los Angeles Lakers,1999-11-28,25,9332
clarkbr01,Brandon Clarke,Memphis Grizzlies,1996-09-19,28,10497
spencca01,Cam Spencer,Memphis Grizzlies,2000-04-06,25,9202
banede01,Desmond Bane,Memphis Grizzlies,1998-06-25,26,9853
jacksgg01,GG Jackson II,Memphis Grizzlies,2004-12-17,20,7486
moranja01,Ja Morant,Memphis Grizzlies,1999-08-10,25,9442
jacksja02,Jaren Jackson Jr.,Memphis Grizzlies,1999-09-15,25,9406
huffja01,Jay Huff,Memphis Grizzlies,1998-08-25,26,9792
wellsja01,Jaylen Wells,Memphis Grizzlies,2003-08-26,21,7965
konchjo01,John Konchar,Memphis Grizzlies,1996-03-22,29,10678
stevela01,Lamar Stevens,Memphis Grizzlies,1997-07-09,27,10204
kennalu01,Luke Kennard,Memphis Grizzlies,1996-06-24,28,10584
baglema01,Marvin Bagley III,Memphis Grizzlies,1999-03-14,26,9591
aldamsa01,Santi Aldama,Memphis Grizzlies,2001-01-10,24,8923
pippesc02,Scotty Pippen Jr.,Memphis Grizzlies,2000-11-10,24,8984
willivi01,Vince Williams Jr.,Memphis Grizzlies,2000-08-30,24,9056
kawamyu01,Yuki Kawamura,Memphis Grizzlies,2001-05-02,24,8811
edeyza01,Zach Edey,Memphis Grizzlies,2002-05-14,23,8434
pullizy01,Zyon Pullin,Memphis Grizzlies,2001-03-03,24,8871
burksal01,Alec Burks,Miami Heat,1991-07-20,33,12385
wiggian01,Andrew Wiggins,Miami Heat,1995-02-23,30,11071
adebaba01,Bam Adebayo,Miami Heat,1997-07-18,27,10195
mitchda01,Davion Mitchell,Miami Heat,1998-09-05,26,9781
smithdr01,Dru Smith,Miami Heat,1997-12-30,27,10030
robindu01,Duncan Robinson,Miami Heat,1994-04-22,31,11378
highsha01,Haywood Highsmith,Miami Heat,1996-12-09,28,10416
steveis01,Isaiah Stevens,Miami Heat,2000-11-01,24,8993
jaqueja01,Jaime Jaquez Jr.,Miami Heat,2001-02-18,24,8884
chrisjo01,Josh Christopher,Miami Heat,2001-12-08,23,8591
wareke01,Kel'el Ware,Miami Heat,2004-04-20,21,7727
johnske10,Keshad Johnson,Miami Heat,2001-06-23,23,8759
loveke01,Kevin Love,Miami Heat,1988-09-07,36,13431
anderky01,Kyle Anderson,Miami Heat,1993-09-20,31,11592
jovicni01,Nikola JoviÄ,Miami Heat,2003-06-09,22,8043
larsspe01,Pelle Larsson,Miami Heat,2001-02-23,24,8879
roziete01,Terry Rozier,Miami Heat,1994-03-17,31,11414
herroty01,Tyler Herro,Miami Heat,2000-01-20,25,9279
greenaj01,A.J. Green,Milwaukee Bucks,1999-09-27,25,9394
jacksan01,Andre Jackson Jr.,Milwaukee Bucks,2001-11-13,23,8616
portibo01,Bobby Portis,Milwaukee Bucks,1995-02-10,30,11084
lopezbr01,Brook Lopez,Milwaukee Bucks,1988-04-01,37,13590
livinch01,Chris Livingston,Milwaukee Bucks,2003-10-15,21,7915
lillada01,Damian Lillard,Milwaukee Bucks,1990-07-15,34,12755
trentga02,Gary Trent Jr.,Milwaukee Bucks,1999-01-18,26,9646
antetgi01,Giannis Antetokounmpo,Milwaukee Bucks,1994-12-06,30,11150
bouyeja01,Jamaree Bouyea,Milwaukee Bucks,1999-06-27,25,9486
simsje01,Jericho Sims,Milwaukee Bucks,1998-10-20,26,9736
porteke02,Kevin Porter Jr.,Milwaukee Bucks,2000-05-04,25,9174
kuzmaky01,Kyle Kuzma,Milwaukee Bucks,1995-07-24,29,10920
connapa01,Pat Connaughton,Milwaukee Bucks,1993-01-06,32,11849
nancepe01,Pete Nance,Milwaukee Bucks,2000-02-19,25,9249
rolliry01,Ryan Rollins,Milwaukee Bucks,2002-07-03,22,8384
umudest01,Stanley Umude,Milwaukee Bucks,1999-04-12,26,9562
princta02,Taurean Prince,Milwaukee Bucks,1994-03-22,31,11409
smithty02,Tyler Smith,Milwaukee Bucks,2004-11-02,20,7531
edwaran01,Anthony Edwards,Minnesota Timberwolves,2001-08-05,23,8716
hylanbo01,Bones Hyland,Minnesota Timberwolves,2000-09-14,24,9041
divindo01,Donte DiVincenzo,Minnesota Timberwolves,1997-01-31,28,10363
mcdanja02,Jaden McDaniels,Minnesota Timberwolves,2000-09-29,24,9026
clarkja02,Jaylen Clark,Minnesota Timberwolves,2001-10-13,23,8647
edwarje01,Jesse Edwards,Minnesota Timberwolves,2000-03-18,25,9221
inglejo01,Joe Ingles,Minnesota Timberwolves,1987-10-02,37,13772
minotjo01,Josh Minott,Minnesota Timberwolves,2002-11-25,22,8239
randlju01,Julius Randle,Minnesota Timberwolves,1994-11-29,30,11157
millele01,Leonard Miller,Minnesota Timberwolves,2003-11-26,21,7873
garzalu01,Luka Garza,Minnesota Timberwolves,1998-12-27,26,9668
conlemi01,Mike Conley,Minnesota Timberwolves,1987-10-11,37,13763
reidna01,Naz Reid,Minnesota Timberwolves,1999-08-26,25,9426
alexani01,Nickeil Alexander-Walker,Minnesota Timberwolves,1998-09-02,26,9784
dilliro01,Rob Dillingham,Minnesota Timberwolves,2005-01-04,20,7468
goberru01,Rudy Gobert,Minnesota Timberwolves,1992-06-26,32,12043
shannte01,Terrence Shannon Jr.,Minnesota Timberwolves,2000-07-30,24,9087
newtotr01,Tristen Newton,Minnesota Timberwolves,2001-04-26,24,8817
reevean01,Antonio Reeves,New Orleans Pelicans,2000-11-20,24,8974
bostobr01,Brandon Boston Jr.,New Orleans Pelicans,2001-11-28,23,8601
brownbr01,Bruce Brown,New Orleans Pelicans,1996-08-15,28,10532
mccolcj01,CJ McCollum,New Orleans Pelicans,1991-09-19,33,12324
murrade01,Dejounte Murray,New Orleans Pelicans,1996-09-19,28,10497
paytoel01,Elfrid Payton,New Orleans Pelicans,1994-02-22,31,11437
joneshe01,Herbert Jones,New Orleans Pelicans,1998-10-06,26,9750
cainja01,Jamal Cain,New Orleans Pelicans,1999-03-20,26,9585
robinje02,Jeremiah Robinson-Earl,New Orleans Pelicans,2000-11-03,24,8991
hawkijo01,Jordan Hawkins,New Orleans Pelicans,2002-04-29,23,8449
alvarjo01,Jose Alvarado,New Orleans Pelicans,1998-04-12,27,9927
matkoka01,Karlo MatkoviÄ,New Orleans Pelicans,2001-03-30,24,8844
brookke02,Keion Brooks Jr.,New Orleans Pelicans,2000-08-07,24,9079
olynyke01,Kelly Olynyk,New Orleans Pelicans,1991-04-19,34,12477
kelleky01,Kylor Kelley,New Orleans Pelicans,1997-08-26,27,10156
quinole01,Lester QuiÃ±ones,New Orleans Pelicans,2000-11-16,24,8978
murphtr02,Trey Murphy III,New Orleans Pelicans,2000-06-18,24,9129
missiyv01,Yves Missi,New Orleans Pelicans,2004-05-14,21,7703
willizi01,Zion Williamson,New Orleans Pelicans,2000-07-06,24,9111
watsoan02,Anton Watson,New York Knicks,2000-10-06,24,9019
hukpoar01,Ariel Hukporti,New York Knicks,2002-04-11,23,8467
payneca01,Cameron Payne,New York Knicks,1994-08-08,30,11270
wrighde01,Delon Wright,New York Knicks,1992-04-26,33,12104
brunsja01,Jalen Brunson,New York Knicks,1996-08-31,28,10516
hartjo01,Josh Hart,New York Knicks,1995-03-06,30,11060
townska01,Karl-Anthony Towns,New York Knicks,1995-11-15,29,10806
mcculke01,Kevin McCullar Jr.,New York Knicks,2001-03-15,24,8859
shamela01,Landry Shamet,New York Knicks,1997-03-13,28,10322
beaucma01,MarJon Beauchamp,New York Knicks,2000-10-12,24,9013
bridgmi01,Mikal Bridges,New York Knicks,1996-08-30,28,10517
mcbrimi01,Miles McBride,New York Knicks,2000-09-08,24,9047
robinmi01,Mitchell Robinson,New York Knicks,1998-04-01,27,9938
anunoog01,OG Anunoby,New York Knicks,1997-07-17,27,10196
tuckepj01,P.J. Tucker,New York Knicks,1985-05-05,40,14652
dadiepa01,Pacome Dadiet,New York Knicks,2005-07-27,19,7264
achiupr01,Precious Achiuwa,New York Knicks,1999-09-19,25,9402
kolekty01,Tyler Kolek,New York Knicks,2001-03-27,24,8847
wiggiaa01,Aaron Wiggins,Oklahoma City Thunder,1999-01-02,26,9662
flaglad01,Adam Flagler,Oklahoma City Thunder,1999-12-01,25,9329
mitchaj01,Ajay Mitchell,Oklahoma City Thunder,2002-06-25,22,8392
carusal01,Alex Caruso,Oklahoma City Thunder,1994-02-28,31,11431
ducasal01,Alex Ducas,Oklahoma City Thunder,2000-12-11,24,8953
carlsbr01,Branden Carlson,Oklahoma City Thunder,1999-06-14,26,9499
wallaca01,Cason Wallace,Oklahoma City Thunder,2003-11-07,21,7892
holmgch01,Chet Holmgren,Oklahoma City Thunder,2002-05-01,23,8447
jonesdi01,Dillon Jones,Oklahoma City Thunder,2001-10-29,23,8631
harteis01,Isaiah Hartenstein,Oklahoma City Thunder,1998-05-05,27,9904
joeis01,Isaiah Joe,Oklahoma City Thunder,1999-07-02,25,9481
willija06,Jalen Williams,Oklahoma City Thunder,2001-04-14,24,8829
willija07,Jaylin Williams,Oklahoma City Thunder,2002-06-29,22,8388
willike04,Kenrich Williams,Oklahoma City Thunder,1994-12-02,30,11154
dortlu01,Luguentz Dort,Oklahoma City Thunder,1999-04-19,26,9555
topicni01,Nikola TopiÄ,Oklahoma City Thunder,2005-08-10,19,7250
diengou01,Ousmane Dieng,Oklahoma City Thunder,2003-05-21,22,8062
gilgesh01,Shai Gilgeous-Alexander,Oklahoma City Thunder,1998-07-12,26,9836
blackan01,Anthony Black,Orlando Magic,2004-01-20,21,7818
houstca01,Caleb Houstan,Orlando Magic,2003-01-09,22,8194
anthoco01,Cole Anthony,Orlando Magic,2000-05-15,25,9163
josepco01,Cory Joseph,Orlando Magic,1991-08-20,33,12354
thompet01,Ethan Thompson,Orlando Magic,1999-05-04,26,9540
wagnefr01,Franz Wagner,Orlando Magic,2001-08-27,23,8694
harriga01,Gary Harris,Orlando Magic,1994-09-14,30,11233
bitadgo01,Goga Bitadze,Orlando Magic,1999-07-20,25,9463
suggsja01,Jalen Suggs,Orlando Magic,2001-06-03,24,8779
howarje01,Jett Howard,Orlando Magic,2003-09-14,21,7946
isaacjo01,Jonathan Isaac,Orlando Magic,1997-10-03,27,10118
caldwke01,Kentavious Caldwell-Pope,Orlando Magic,1993-02-18,32,11806
mccluma01,Mac McClung,Orlando Magic,1999-01-06,26,9658
wagnemo01,Moritz Wagner,Orlando Magic,1997-04-26,28,10278
banchpa01,Paolo Banchero,Orlando Magic,2002-11-12,22,8252
queentr01,Trevelin Queen,Orlando Magic,1997-02-25,28,10338
dasiltr01,Tristan Da Silva,Orlando Magic,2001-05-15,24,8798
cartewe01,Wendell Carter Jr.,Orlando Magic,1999-04-16,26,9558
bonaad01,Adem Bona,Philadelphia 76ers,2003-03-28,22,8116
reeseal01,Alex Reese,Philadelphia 76ers,1999-05-21,26,9523
drumman01,Andre Drummond,Philadelphia 76ers,1993-08-10,31,11633
gordoer01,Eric Gordon,Philadelphia 76ers,1988-12-25,36,13322
yabusgu01,Guerschon Yabusele,Philadelphia 76ers,1995-12-17,29,10774
mobleis01,Isaiah Mobley,Philadelphia 76ers,1999-09-24,25,9397
hoodsja01,Jalen Hood-Schifino,Philadelphia 76ers,2003-06-19,21,8033
butleja02,Jared Butler,Philadelphia 76ers,2000-08-25,24,9061
